abhor	 …'を'ひどくきらう,嫌悪する 
coven	 魔女の集会 
cover	 (…で)…‘の'『表面をおおう』,'を'包む,かぶせる《+『名』+『with』+『名』》 / (範囲が)…‘に'『及ぶ』,わたる,'を'取り扱う範囲に入れる / 〈ある距離〉'を'行く,進む(受動態にできない) / …‘に'保険を掛ける / …'を'報道する,取材する / 〈要塞・砲などが〉'を'制圧する / (ピストルなどで)〈人〉'を'ねらう《+『名』+『with』+『名』》 / (球技などで)〈相手〉の動きなど〉'を'ふせぐ;〈地域など〉'を'守る / (…の)代役をする,身代りをする《+『for』+『名』》 / 〈C〉『おおい』,包むもの,カバー;ふた / 〈C〉『表紙』 / 〈U〉隠れ場所,潜伏所 / 〈U〉姿を隠してくれるもの(暗闇,煙など) / 〈C〉(秘密を隠すための)見せかけ / 〈U〉(…の)保険《+『against』+『名』》 / 〈C〉封筒;(郵便小包などの)包装紙 / 〈C〉毛布,ふとん 
covet	 〈他人の物など〉'を'むやみに欲しがる 
covey	 (ウズラ・雷鳥など親子が群居する)鳥の小さな群れ / (人・物の)群れ《+『of』+『名』》
cower	 (恐れ・恥ずかしさ・寒さなどのために)すくむ,ちぢみ上がる,震え上がる 
coypu	 コイプー(南アメリカ産の川ネズミ;その毛皮は高価) 
cozen	 〈人〉'を'だます 
craft	 〈U〉『技能』,技巧 / 〈C〉手先の技術を要する仕事;工芸 / 〈C〉《集合的に》同業者;同業組合 / 〈U〉(悪い意味で)巧妙さ,悪だくみ / 《集合的に》船,飛行機,宇宙船 / …'を'手作りで作る,手作りのように丹念に作る
crake	 クイナ類の鳥の総称 / その鳴き声
cramp	 〈U〉〈C〉(筋肉の)けいれん,こむらがえり / 《複数形で》急激な腹痛 / …‘に'けいれんを起こさせる 
crane	 ツル(鶴) / 起重機,クレーン / 自在かぎ / (よく見ようとして)〈首〉'を'伸ばす / 首を伸ばす 
crank	 クランク(往復直線運動を回転運動に変えるもの) / 《話》変わり者,奇人 / 《米話》気むずかしい人 / 〈軸〉'を'クランクで回す / 〈エンジン・映画のカメラなど〉'を'クランクを回して動かす 
crape	 =crepe 
craps	 (2個のさいころを用いた)サイコロばくち 
crash	 『ガラガラ』,『ドシン』(物が倒れたり砕けたりするときの音) / (飛行機の)『墜落』;(車の)『衝突』 / (事業・相場などの)崩壊,破産 / 『ガチャン』(『ドシン』,『ガラガラ』)『と大きな音をたてる』 / (…に)ガチャン(ドシン)と衝突する《+『into』(『against』)+『名』》 / 大きな音をたてて動く / 〈飛行機が〉墜落する / 〈事業などが〉つぶれる / (…にぶつけて)…'を'『ガチャン』(ドシン),『ガラガラ』)『と壊す』《+『名』+『against』(『into, to』)+『名』》 / 〈飛行機・車など〉'を'衝突させる / 《話》(またgatecrash)(招待状・切符なしで)…‘に'押し掛ける・もぐり込む / 応急の
crate	 (果物・ガラス器具・家具などの運送・荷造りに用いる)わく箱,竹かご / …'を'わく箱(竹かご)に詰める
crave	 〈人が〉…'を'『切望する』,ほしがる / 〈物・事情が〉…'を'必要とする / (…を)『切望する』《+『after』(『for』)+『名』》 
crawl	 (腹ばいで)『はう』,はって進む / 〈人・乗物・時間・仕事などが〉『のろのろと進む』 / (はい回む虫などで)うじゃうじゃしている,うようよしている《+『with』+『名』》 / (虫がはっているかのように)むずむずする / 《話》(人に)取り入る《+『into』+『名』》 / 《a ~》はうこと;のろのろ歩き,徐行 / 《通例the ~》クロール泳法 
craze	 (…で)〈人〉‘の'気を狂わせる《+『名』+『by』(with)+『名』(do『ing』)》 / (…に対する)一時的な熱中(流行)《+『for』+『名』》
crazy	 『狂気の』,気違いの / (物事が)『途方もない』,実行不可能な / 《補語にのみ用いて》『熱中している』,夢中の 
creak	 キーキー鳴る,きしる / キーキーという音
cream	 〈U〉『クリーム』(牛乳の上部に沙まる脂肪分) / 〈C〉〈U〉『クリーム菓子』,クリーム製食品,クリーム状の食品 / 〈C〉〈U〉『化床クリーム』;クリーム状の薬品 / 《the cream》(…の)最上の部分,真髄,粋《+『of』+『名』》 / 〈U〉クリーム色 / 〈牛乳〉‘から'クリームをとる / …'を'クリーム状にする / 〈野菜・乳〉'を'クリーム(または牛乳)で煮る
credo	 《the Credo》=the Apostles' Creed / 〈C〉=creed 3
crept	 creepの過去・過去分詞 
crest	 (鳥の)とさか / (かぶとの)前立て,羽根飾り / 山頂,尾根;波がしら;(一般に)絶頂,最上 / 紋章,家紋
cried	 cryの過去・過去分詞 
cries	 cryの三人称単数現在形 
crime	 〈C〉(事律上の)『犯罪』,罪 / 〈U〉(一般に)犯罪[行為] / 〈C〉《a~》『よくない行為』,ばかげた行為 
crimp	 〈髪など〉'を'縮らせる;〈布〉‘に'ひだをつける / ひだ / 《複数形で》縮れ毛 
crisp	 (また『crispy』)(菓子・揚げものなどが)『かりかり』(『ぱりぱり』)『した』;(野菜などが)新鮮でぱりぱりした;(紙などが)パリパリと音のする / (空気・天候が)+さわやかな』,身の引き締まるような / (動作・返答・表現などが)『てきぱき』(『きびきび』)『した』 / (毛が)縮れた(curly) / 〈毛など〉'を'縮らせる / 〈パンなど〉'を'かりかりに焼く / 〈毛などが〉縮れる / かりかり(ぱりぱり)になる / =potato chip 
croak	 (蛙・烏などの)カーカー(ガーガー)という鳴き声;(人の)しわがれ声 / (蛙・烏などが)カーカー(ガーガー)と鳴く / (不吉な感じで)しわがれ声で話す / (特に)〈不満なこと〉'を'低いしわがれ声で話す
croft	 (屋敷続きの)小農園;(家畜数頭を飼育する程度の)小牧場 / (小さな)小作地
crone	 しわくちゃばばあ 
crony	 親友,旧友,仲よし(chum) 
croup	 クループ(せきや呼吸困難を伴う小児病) 
crowd	 (秩序・統制のない)(…の)『群衆』,人こみ《+『of』+『名』》 / 《the+》『一般大衆』,庶民 / (…の)たくさん寄り集まっているもの《+『of』+『名』》 / 《話》(特定の)グルーパ,連中 / 『群らがる』,大勢集まる / 《副詞句を伴って》群らがって押し進む(押し寄せる) / (…に)〈人・物〉'を'『詰め力む』,押し力む《+『名』+『into』+『名』》 / (…で)〈場所〉'を'いっぱいにする,(…を)…‘に'詰め込む《+『名』+『with』+『名』》 / 《話》せがむ,強要する 
crown	 〈C〉(王位の象徴として国王・王妃などがかぶる)王冠・《the~,[the]C-》『王位』,統治権;君主,王,女王 / 〈C〉(古代・中世で国王などから優者に与えられる)(…の)花冠,頭飾り《+『of』+『名』》;(一般に勝利の栄冠 / 《the~》(…の)絶頂,極致,きわみ《+『of』+『名』》 / 〈C〉(頭・帽子・山・アーチなどの)最も高い部分,頂(いただき) / 〈C〉歯冠;人工歯冠 / 〈C〉《英》クラウン紙幣(英国の旧銀貨);(一般に)王冠をデザインに使った貨幣 / …‘の'頭に王冠をのせる,'を'王位につける / (栄冠・賞を)…‘に'授ける《+『名』+『with』+『名』》 / 〈物が〉…‘の'頂部[てっぺん]をおおっている / 《『crown』+『名』+『名』》(…として)…'を'認める / (…を)…‘に'歯冠をかぶせる《+『名』+『with』+『名』》 
crude	 (原材料が)『天然のままの』,未加工の / (製品・作品などが)仕上がりの悪い,荒造りの / (言葉・態度・考え方などが)粗雑な,不作法な / =crude oil
cruel	 (人・行動が)『残酷な』,無慈悲な / 『悲惨な』,むごい
cruet	 (酢・こしょうなどを入れるガラス製の)薬味(やくみ)入れ / =cruet stand
crumb	 《通例複数形で》(食べるときなどこぼれ落ちる)『パンくず』,ケーキのかけら / (…の)少量,わずか《+『of』+『名』》 / パンの中身(パンの皮の内側にあるふかふかした部分 / …‘に'パン粉をまぶす / 〈パンなど〉'を'ぼろぼろにくずす 
cruse	 (木などを入れる)つぼ 
crush	 …'を'『押しつぶす』,ぺしゃんこにする《+『up』+『名,』+『名』+『up』》 / …'を'『砕く』,粉々にする;…を砕いて(…に)する《+『名』+『into』+『名』》 / (…に)…'を'押しつける《+『名』+『against』+『名』》;(…に)…'を'押し込む《+『名』+『into』+『名』》 / (…から)…'を'押しつぶして出す,しぼり出す《+『名』+『from』+『名』》 / …'を'ぎゅっと抱きしめる / …'を'打ちのめす,打ちひしぐ《+『down』+『名,』+『名』+『down』》 / 『つぶれる』,ぺしゃんこになる;くしゃくしゃになる / 『砕ける』,粉々になる / (…に)押し合って入る,殺到する《+『into』(『through』)+『名』》 / 〈C〉《単数形で》押し合いへし合い,殺到 / 〈C〉《話》《単数形で》大混雑の集会,すしづめの集会 / 〈U〉《英》(押しつぶして出した)果汁 / 〈C〉《話》(…に)のぼせ上がること,(…への)べたぼれ《+『on』+『名』》;のぼせ上がった相手 
crust	 〈C〉〈U〉『パンの皮』,パイの皮;〈C〉堅くなった一切れのパン / 〈C〉〈U〉(物の)堅い表面;(動物の)甲殻(かく);地殻;堅くなった雪面 / 外皮におおわれる《+『over』》 
crypt	 地下室,(特に)教会堂の地下室(小礼拝室・納骨室に用いる) 
cubit	 腕尺(古代の尺度で,ひじから中指の先まどの長さ;45‐56センチ) 
cumin	 カミン[の実](セリ科の植物;実は調味用・薬用) 
curia	 《しばしばD-》ローマ教皇(法王)庁 / 古代ローマの元老院
curio	 こっとう品 
curly	 (髪が)カールした 
curse	 …'を'『のろう』;(…のことで)…'を'『ののしる』,'を'悪口を言う《+『名』+『for』+『名』(do『ing』)》 / (宗教で)〈人〉'を'破門する / (人を)『ののしる』,(人に)悪態をつく《+『at』+『名』》 / 『のろい』 / 『のろいの言葉』(Damn!, Confound it!, Go to hell!など),悪態(Shit!など) / (…への)『たたり』;災いのもと,やっかいなもの《+『on』+『名』》
curst	 =cursed 
curve	 『曲線』 / 『曲がり』,曲がったもの,湾曲部 / (野球で投球の)『カーブ』 / (…の方へ)『曲がる』,湾曲する《+『to』+『名』》 / …'を'曲げる;'を'湾曲させる 
curvy	 曲線の,曲がった / 曲線美の
cushy	 (仕事などが)楽な,容易な,安易な 
cyder	 =cider 
daily	 『毎日の』,日々の / 『毎日』,日々(everyday);日ごとに / 日刊新聞(daily paper) / (また『daily help』)《おもに英話》通いのメイド
dairy	 〈C〉『酪農場』,バター・チーズ・クリーム製造所 / 〈C〉『乳製品販売店』《形容詞的に》『dairy cattle』{名}《集合的に》乳牛『dairy farm』{名}〈C〉酪農場
daisy	 『ヒナギク』 / 《容》すてきな人(物)
dance	 (…に合わせて)『踊る』,舞う,ダンスをする《+『to』+『名』》 / 《副詞[句]を判って》『こおどりする』,跳ね回る / 〈木の葉・光の影などが〉舞う,揺れる / 〈ダンス〉'を'踊る / 《副詞[句]を判って》〈人〉'を'踊らせる / 〈赤ん坊〉'を'上下に揺すってあやす / 《副詞[句]を判って》…'を'踊って(…のように)する(言う) / 『ダンス』,舞踏;舞踏曲;《the~》踊り方 / 『舞踏会』(dancing party) 
datum	 dataの単数形 / 既知の事実
daunt	 …'を'おどす;…'を'ひるませる(discourage) 
davit	 ダビット(船のボートつり柱) 
dealt	 dealの渦去・渦去分詞 
deary	 かわいい人 
death	 〈U〉〈C〉『死』,死亡;死に方,死にざま / 〈U〉死んだ[ような]状体 / 《the~》(…の)絶滅,破滅《+『of』+『名』》 / 《the~》(…の)死の原因,命取り《+『of』+『名』》 / 《通例『D-』》死神(手に鎌(かマ)を持った黒装束の骸骨(がいこつ)で表される) 
debar	 (…から)〈人〉‘を'締め出す,除外する(exclude)《+『名』〈人〉+『from』+『名』》 / (…することを)〈人〉‘に'禁ずる,妨げる(prevent)《+『名』〈人〉+『from』 do『ing』》
debit	 (簿記で)借り方,借り方記入 / (ある金額を)…‘の'借り方に記入する《+『名』+『with』+『名』〈=額〉》 / (相手に)〈金額〉'を'借り方として記入する《+『名』〈金額〉+『against』+『名』》 
debug	 …‘の'欠陥(誤り)を調べて除く;〈部屋など〉‘から'盗聴装置を取り除く 
debut	 社交界へ初めて出ること;初舞台;(いろいろな場への)初登場 / (…として)デビューする
decal	 〈U〉ラフレ画法(絵や図案をガラス・金属などに転写する技術) / 〈C〉その絵・図案がかかれた転写紙
decay	 『腐る』,朽ちる / 〈繁栄・健康などが〉『衰える』,衰退する;〈活力などが〉低下する / 〈他〉 / …'を'『腐らせる』 / 『腐敗』;腐朽 / 『衰微』,衰え / (放射性物質の)自然崩壊 
decor	 (室内などの)装飾 / 舞台装置
decoy	 (狩猟で鳥をおよびきよせる人工の)おとり / (人をおびきよせる)策略,わな / …'を'おとりで誘う,おびきよせる 
decry	 …'を'非難する,けなす 
defog	 〈自動車などの窓〉‘の'曇り(水滴)を取り除く 
degas	 …‘から'ガスを抜く 
deify	 …'を'神に祀る / …'を'神様扱いする
deign	 《『deign to』 do》〈目上の人が〉もったいなくも(…)してくださる / …'を'下さる
deism	 理神論,自然神教 
deist	 理神論者 
deity	 《the D-》(キリスト教の)神 / 〈C〉(キリスト教以外の)神 / 〈U〉神性,神格,神位 
delay	 …'を'『延期する』,延ばす / 〈事故などが〉…'を'『遅らせる』 / 『ぐずぐずする』,『手間取る』 / 『遅れ』,遅延 / 『延期』,猶予 
delft	 デルフト焼き(オランダのDelft産の陶器;白地に青で採色したものが多い) 
delta	 デルタ(ギリシア語アルファベットの第4字Δ,δ;英語D,dに相当) / (河口の)三角州,デルタ / 三角形をしたもの 
demon	 悪霊;悪魔 / 悪魔(鬼)のように残酷な人;(悪などの)権化 / 《話》(超人的な)精力家,名人,鬼才 
demur	 (…に)異議を唱える,反対する《+『at』(『to』+『名』(do『ing』)》 / 異議,反対
denim	 〈U〉デニム(厚地の綿布) / 〈C〉《複数形で》デニム製作業服
depot	 《米》(鉄道の)駅,(バスの)発着所 / (軍隊の)物資集積所 / 置き場,貯蔵所,倉庫 / 《英》連隊本部
depth	 〈U〉〈C〉《通例単数形で》『深さ』;奥行き / 〈U〉(知識・知性などの)『深遠さ』,深さ / 〈U〉(声・音などの調子の)『低さ』;(色の)濃さ / 〈C〉《複数形で》『奥まった場所』,奥地 / 〈C〉深い所,深み / 〈U〉〈C〉《時に複数形で》最中
derby	 〈C〉《米》山高帽(《英》bowler) / 《D-》ダービー競馬(英国ロンドン近郊Epsom Downsで毎年6月第1水曜日に行われる);大競馬,(特に米国の)ケンタッキー競馬 / 〈C〉(一般に)公開競技 / 《米》=bowler
derma	 真皮(true skin),皮膚 
devil	 『悪魔』,悪鬼;《the D-》魔王(Satan) / (悪魔のような)悪人,人非人;(…の)鬼,(悪徳の)権化(ごんげ)《+『of』+『名』》 / 精力家,腕のたっしゃな人 / やつ(fellow),男 / 《俗》《強意語として》 / 《疑問詞の後で》いったいぜんたい / 《強い否定》ぜったい…でない / (また『printer's devil』)印刷屋の使い走り,または見習いの少年 / 《米話》…‘を'いじめる,悩ませる / …‘を'辛く料理する
dhoti	 ドーティ(インドの男子が着用する腰布) 
diary	 『日記』,日記帳,日誌 
dicey	 危険な,いちかばちかの 
dicky	 ぐらぐらする;(物事が)あぶなっかしい 
dicta	 dictumの複数形 
dinar	 ディナール(ユーゴスラビア・イスラム教諸国の貨幣) 
diner	 食事をする人,正餐(せいさん)客 / 《米》=dining car / (食堂車を固定し,あるいはこれに似せた)簡易食堂 
dingo	 ディンゴ(オオカミに似た野犬;オーストラリア産) 
dingy	 黒ずんだ,くすんだ,薄汚い 
dinky	 《米話》取るに足りない / 《英話》こぎれいな,かわいい
dirge	 哀歌(elegy),葬送歌 
dirty	 『汚い』,汚れた,不潔な;泥だらけの,泥んこの / 『不正な』,卑劣な,下劣な / 『下品な』,卑わいな,わいせつな / 《話》(天気が)荒れ模様の(stormy) / (原子兵器が)汚れた,放射性降下物の多い,放射能の多い / …‘を'『汚す』;〈名誉・名声など〉‘を'汚す,傷つける / 汚れる 
disco	 discotheque 
dishy	 (女が)性的魅力のある 
ditch	 (地面に掘った)『溝』,堀,潅漑(かんがい)用水路,排水溝 / …‘に'溝を掘る,溝を巡らせる / 〈車など〉‘を'溝へ落とす;〈列車〉‘を'脱線させる / 〈飛行機〉‘を'水上に不時着させる / 《俗》…‘を'突然に捨てる(見捨てる) / 水上に不時着する
divan	 (壁に沿って置くひじかけや背もたれのない)長いす;寝いす 
diver	 水に飛び込む人 / 『海女』(あま),『潜水夫』;ダイビング競技の選手 / 水に潜る鳥(loon, grebeなど) 
divot	 (ゴルフクラブでそぎ取られた)芝生の小さな塊 
dogie	 (牛の群れの中の)母なし子牛 
dogma	 〈C〉〈U〉(教会などの)『教義』,教理,信条 / 〈C〉独断的な説(主張)
doily	 ドイリー(テーブルの装飾や保護のため花びん・皿などの下に敷く小さな下敷き) 
donut	 =doughnut 
doubt	 『疑い』,疑惑;疑わしさ,疑問 / ‘を'『疑う』,疑問に思う
dough	 練り粉,こね粉,生パン / 《おもに米俗》金銭,ぜに
douse	 …‘を'水中に突っ込む;…‘を'ずぶぬれにする / 《話》〈火・燈火〉‘を'消す
dowel	 合わせくぎ,目くぎ,だぼ 
dower	 寡婦(かふ)産(亡夫の遺産のうち未亡人が受ける部分) / 生まれつきの資質,天賦の才 / =dowry / …‘に'寡婦産を与える / (才能・資質などを)…‘に'与える,賦与する(endow) 
downy	 綿毛(うぶ毛)のような;綿毛でおおわれた 
dowry	 (花嫁の)持参金 
dowse	 =douse 
doyen	 (団体などの)古参者,長老,大御所 
dozen	 『ダース』,12個の組(《略》『doz.,dz.』) 
drabs	 =dribs 
drain	 (液体を)…‘から'『排出する』《+『名』+『of』+『名』》;(…から)〈液体〉‘を'『排出する』《+『名』+『from』+『名』》 / …‘を'消耗させる,枯渇させる;(…を)〈人〉‘から'消耗させる《+『名』+『of』+『名』》 / 〈酒など〉‘を'飲み干す,空にする / 〈土地〉‘を'干上がらせる / 〈土地などが〉水はけがよい;(液体を)排出する《+『of』+『名』》 / 〈水・液体などが〉徐々に流れ去る / 〈C〉『排水設備』,排水路 / 〈C〉(…を)消耗(枯渇)させるもの《+『on』+『名』》 / 〈U〉《時にa~》(富・力などの)消耗,枯渇 
drake	 雄ガモ 
drank	 drinkの過去,《時に米》過去分詞 
drape	 …‘を'掛け布でおおう;(垂れ布などで)…‘を'飾る《+『名』+『with』(『in』)+『名』》 / …‘を'ぞんざいに置く,だらりと下げる / 〈布・服など〉‘に'ゆるい優美なひだをつける / 〈掛け布などが〉優美なひだになって垂れ下がる / 〈C〉《通例複数形で》掛け布,垂れ布;《米》特に左右に開閉する1対の長いカーテン / 〈U〉《またa~》(布などの)たれぐあい
drawl	 (特に母音を引き伸ばして)ゆっくり話す / …‘を'ゆっくり話す / (母音を引き伸ばした)ゆっくりした話し振り 
drawn	 drawの過去分詞 / 緊張した,こわばった / (鳥などの)はらわたを抜いた / (剣などが)さやから抜かれた,抜き身の / (勝負が)引き分けの 
dream	 『夢』 / 『白昼夢』,幻想(daydream) / 抱負,強い希望,夢 / 《話》夢のように美しいもの,魅力のあるもの / 『夢を見る』 / (…を)『夢想する』,思い描く《+『of』(『about』)+『名』(do『ing』)》 / …‘を'『夢に見る』,《a+形容詞+dreamを目的語にして》〈…の夢〉‘を'見る / 《『dream』+『that節』》…‘と'『思う』,想像する / 〈時〉‘を'うかうかと過ごす《+『away』+『名』》 
dregs	 (飲み物の)かす,おり / 最もつまらないもの
dribs	 少量,ほんの少し 
drift	 〈U〉『漂流』,流されること / 〈U〉(海流・風などの)流れ,流れの方向(速度) / 〈C〉(雪・砂などの)吹きだまり,漂流物《+『of』+『名』》 / 〈U〉〈C〉大勢,風潮,傾向 / 〈U〉《時にa~》主意,主旨 / (水・風に)『流される』,漂う,漂流する / あてもなくさまよう / 〈雪・砂などが〉吹き積もる,吹きだまりになる / 〈砂・雪など〉‘を'吹き寄せる;〈場所〉‘を'吹きだまりにする 
drily	 =dryly 
drink	 〈飲み物〉‘を'『飲む』 / 〈植物・地面・物が〉〈水分など〉‘を'吸収する;〈人が〉〈空気〉‘を'深く吸う / 〈カップ・グラスなど容器の中身〉‘を'飲む,飲み干す / 《副詞[句]を伴って》〈金・時間など〉‘を'酒で飲みつぶす / (…のために)…‘に'祝杯を上げる,…‘を'祈って乾杯する《+『名』+『to』+『名』》 / (飲み物を)『飲む』 / (習慣で,また過度に)酒を飲む / (…のために祈って)乾杯する《+『to』+『名』》 / 〈U〉〈C〉『飲み物』,飲料 / 〈U〉『酒』;飲酒 / 〈C〉(飲み物の)ひと飲み,1杯 
drive	 (…から…へ)〈動物・敵など〉‘を'『追い立てる』,追い払う,追い出す《+『名』+『away』(『out』)『from』+『名』+『to』+『名』》 / (…から)…‘を'押しやる,押し流す《+『名』+『off』(『out of』)+『名』》 / 〈人〉‘を'駆り立てる(force) / 〈車・馬車〉‘を'『運転する』,操縦する;〈馬〉‘を'御する / 《副詞[句]を伴って》(ある場所へ)〈人〉‘を'車(馬車)で運ぶ(送る) / (…に)〈くい・くぎ・ねじなど〉‘を'打ち込む,差し込む《+『名』+『in』(『into, through』)+『名』》 / 〈人〉‘を'酷使する / 〈商売・取引など〉‘を'活発に行う,強力に進める / (…に)〈トンネルなど〉‘を'掘る,通す《+『名』+『through』+『名』》 / 〈動力が〉〈機械など〉‘を'運転する,動かす / 『車を運転する』 / 《副詞[句]を伴って》車で行く,ドライブする / 〈車・船などが〉(…に)突進する;〈雨・風が〉(…に)激しく吹きつける《+『against』(『into』)+『名』》 / 〈C〉(馬車・自動車などに)乗って行くこと,遠乗り,『ドライブ』 / 〈U〉(馬車・自動車で行く)道のり,行程 / 〈C〉(特に邸内・公園内の)車道 / 〈U〉〈C〉(自動車などの)駆動装置 / 〈C〉(目的達成のための)組織的活動,運動 / 〈U〉元気,迫力,精力 / 〈U〉突進;(軍隊の)猛攻撃 / 〈C〉(心理的な)動因,本能的要求 / 〈U〉〈C〉(ゴルフ・テニスなどの)強打 / 〈C〉(家畜などを)追い立てること 
drone	 (特にミツバチの)雄バチ / (他人の労働で生活する)怠け者,ごくつぶし
drove	 driveの過去形 
drown	 …‘を'『溺死』(できし)『させる』 / (…で)…‘を'水浸しにする,ずぶぬれにさせる《+『名』+『in』(『with』)+『名』》 / 〈大きな音が〉〈ほかの音〉‘を'かき消す《+『out』+『名,』+『名』+『out』》 / (仕事・研究などに)〈自分〉‘を'熱中させる,(酒などで)〈憂いなど〉‘を'晴らす,紛らす《+『名』+『in』+『名』》 / 『溺死』(できし)『する』 
drunk	 drinkの過去分詞 / 酒に酔って,酔っぱらって / (感動・喜びなどに)酔いしれて,夢中になって《+『with』+『名』》 / 酔っぱらい
drupe	 核果,石果(さくらんぼ・梅・桃など) 
ducal	 公爵(duke)の,公爵らしい,公爵領の 
ducat	 ダカット金貨(昔欧州で使用された) 
duchy	 公国,公爵領(dukeまたはduchessの領地) 
ducky	 すてきな,すばらしい / あなた
dukes	 握りこぶし,げんこつ 
dumps	憂鬱
dumpy	 (人が)ずんぐりした 
dunce	 のろまな人,ばか者 
duple	 (音楽が)2拍子の,偶数拍子の 
durst	 dareの過去 
dusky	 (色が)黒みがかった / 薄暗い
dusty	 『ほこりっぽい』,ほこりだらけの / ほこりのような色の,つやのない / ほこりのような,粉末状の 
duvet	 羽根ぶとん 
dwarf	 (童話の)『こびと』,一寸法師 / (人間の)こびと / 普通よりずっと小さい動物(植物) / (対照的に)…‘を'小さく見せる / 〈植物など〉‘の'自然な成長を妨げる / (並みはずれて)小さい[種類の]
dwelt	 dwellの過去・過去分詞 
dying	 dieの現在分詞 / 死にかかっている,ひん死の / 消えかかっている,滅びかけている / 臨終の
early	 (時間・時期が)『早い』,『初期の』 / 昔の / (普通より,予定より)早い / 近い将来の / (時間・時期的に)『早く』 / (予定・ふだんより)早く
earth	 《the~,時に[the]E-》『地球』 / 〈U〉(天,空に対して)『地』,地面 / 〈U〉『土』(soil) / 《the~》世界;全世界の人々 / 〈C〉土(ど)類(金属酸化物) / 〈C〉《英》アース,接地[線] / 〈C〉《おもに英》(キツネなどの)穴 / 〈植物〉‘に'土をかぶせる《+『op』+『名』》 / 《英》…‘に'アース線をつなぐ;…‘を'アースする(《米》ground) 
ebony	 コクタン(ピアノの黒けんや高級家具用の黒い硬質木材) / コクタンの色 / コクタン色の 
eclat	 華々しい成功;拍手かっさい 
edict	 勅令,布告 
edify	 …‘を'教化する,啓発する 
eight	 〈C〉(数の)8;8の記号(18,VIIなど) / 〈U〉8時,8分;8歳 / 〈U〉《複数扱い》8人,8個 / 〈C〉八つ(8人,8個)一組のもの;8人のボート選手 / 〈C〉(カードの)8の札;〈U〉(スケートの)8字形[滑走](the figure of eight) / 8の;8人の / 8個の;《補語にのみ用いて》8歳で 
eland	 オオカモシカ(アフリカ産のカモシカ) 
elbow	 『ひじ』 / ひじ形(L字形)のもの;ひじ形の屈曲;(管の)ひじ形継ぎ手;(いすの)ひじ掛け / …‘を'『ひじで押す』(『突く』);(…から)…‘を'ひじで押し出す《+『名』+『out of』+『名』》 
elfin	 小妖精の / 小妖精のような
empty	 『からの』,中に何もない(だれも居ない) / 『空虚な』,なんの意味もない / 《話》腹ぺこの / 〈容器など〉‘を'『空にする』 / (容器などから)〈中身〉‘を'出して空にする《+『名』+『out of』+『名』》;(…に)〈中身〉‘を'全部出す《+『名』+『into』(『onto』)+『名』》 / 『空になる』;(…に)全部出て空になる《+『into』+『名』》 / 空き箱,空きびん 
enact	 〈法律〉‘を'制定する;…‘を'法令(条令)化する / (弓など)‘を'演じる;…‘の'役を演じる
endow	 〈学校など〉‘に'『寄付する』,基金を贈る / 《しばしば受動態で》(優れた能力・才能などを)〈人〉‘に'『与える』,授ける《+『名』+『with』+『名』》
enjoy	 ‘を'『楽しむ』 / ‘に'『恵まれている』,‘を'享受する
entry	 〈C〉〈U〉(場所などに)『入ること』,『入場』,登場;(団体・競技などへの)参加,加入(entrance)《+『into』+『名』》 / 〈C〉《おもに米》(…への)入り口(entrance),玄関《+『of』(『to』)+『名』》 / 〈C〉(帳簿・日記・表などの)『記載事項』,項目;(…の)『記入』《+『of』+『名』》 / 〈C〉(競技・コンテストなどの)『参加者』,参加作品《+『for』(『in』)+『名』》 / 〈C〉(辞書などの)見出し語 
envoy	 使者 / 外交官,外交使節 / 特命全権公使;公使 
epoch	 『画期的な時代』,時期 / (歴史上の)新時代,新紀元 / 世(せい)(紀(period)の次に小さい単位) 
epoxy	 エポキシ[樹脂](接着剤・塗料などに用いる) 
equal	 『等しい』,同じ / 『平等の』 / 互角の;均等の / (任務・作業などに)耐える力がある,(…する)力量がある《+『to』+名(do『ing』)》 / (…と)『同等の人(物)』《+『of』+『名』》 / …‘に'等しい,匹敵する;(…の点で)…‘に'匹敵する《+『名』+『in(as)』+『名』》
equip	 (ある目的のために必要な装備などで)〈人〉‘に'『したくさせる』,〈船・軍隊など〉‘に'『装備する』《+『名』+『with』+『名』》,(…に備えて)…‘に'したくさせる,‘を'装備する《+『名』+『for』+『名』》 / (必要な知識・能力などを)〈人〉‘に'身につけさせる:《『equip』+『名』〈人〉+『with』+『名』+『for』+『名』…に備えて…を人に身につけさせる》
ergot	 麦角(ばっかく)病(麦角菌によるライ麦など穀物の病気) / 麦角(止血剤・子宮収縮剤用)
eruct	 〈おくび・げっぷ〉‘を'出す / 〈火山などが〉〈煙など〉‘を'噴出する / おくびを出す;吐き出す 
erupt	 〈火山灰・間欠泉などが〉噴出する,〈火山が〉噴火する / 〈争いなどが〉突然起こる;〈感情が〉爆発する / 〈溶岩・熱湯など〉‘を'噴出させる / 〈怒りなど〉‘を'爆発させる
ethic	 倫理,道徳律 / =ethical
ethos	 (個人・社会の信念・習慣・風習を形成する)気風,心情 
ethyl	 エチル / エチルの
evict	 (法律の力で)(家・土地などから)〈人〉‘を'立ち退かせる《+『名』+『from』+『名』》 
exact	 《名紙の前にのみ用いて》(数量など)『正確な』,きっかりの;(物事が)そのままの,そっくりの / (人が)『厳密な』;(機械など)精密な / 〈事柄が〉…‘を'要求する / (人に)〈支払・服従など〉‘を'強要する,強いる《+『名』+『from』+『名』〈人〉》
