have	 (また《話》『have got』)〈物〉‘を'『持っている』,所有している(進行形にできない)・(また《話》『have got』)〈親類・友人など〉‘が'『いる』,‘を'持っている,〈召使など〉‘を'かかえている;〈動物〉‘を'飼っている(進行形にできない) ・(また《話》『have got』)(特質・付属物として)…‘を'『備えている』,‘が'ある(進行形にできない) ・(また《話》『have got』)〈感情・意見など〉‘を'持つ,抱く(進行形にできない) ・《『have to』do》(また《話》『have got to』do)…『しなければならない』;《不定文で》…する必要がある・《『have to be』…》…に違いない・〈ある状態〉‘を'経験する,〈病気〉‘に'かかる / …‘を'食べる,飲む,〈たばこ〉‘を'吸う・《動作を表す名詞を目的語にして》《話》〈ある動作・行為〉‘を'する,行う・《『have』+『名』〈人〉+do》《しばしばwill, wouldと共に》〈人〉‘に'(…)させる,してもらう,される / 《『have』+『名』+『過分』》…‘を'(…)させる,される,してもらう・《+『have』+『名』+『形』(『名』,『過分』,do『ing』)〈補〉》…‘を'(…の)状態に保つ,(…の)ままにしておく(進行形にできない) / …‘を'得る,もらう,受ける(進行形にできない) ・〈人・動物が〉〈子〉‘を'産む,もうける・《通例否定文で》…‘を'許す,認める・(財産・社会的地位などを)持っている人;(資源・核兵器を)持っている国
line	 『線』,筋,けい / (色・縫い目などの)『線』,しま;(顔・手などの)しわ(wrinkle) / (物・人の)『列』,行列(row) / 『綱』,糸,針金 / 電線,電話線,電信線 / (文章の)『行』;(詩の)『行』 / 《しばしばa~》《話》『短い手紙』(note) / 《複数形で》輪郭,外形(outline) / 境界線(boundary);限界,限度(limit) / (鉄道・バスなどの)路線;航路,空路 / 《複数形で》せりふ / 進路,道順(course);(考えなどの)筋道,方針 / 《しばしばone's~》(活動の)分野,方面;特意 / 家系,血統,血筋 / 在庫商品,仕入れ品 / 導管,パイプライン / 《しばしば複数形で》戦線,防御線 / …‘に'『線を引く』,筋(しま,しわ)をつける / …‘に'『沿って並ぶ;』(…を)…‘に'沿って並べる《+『名』+『with』+『名』》 
city	 〈C〉(特に行政権を持っている)『都市』,都会,規模の大きい町 / 〈C〉《米》市(州の公認を得た市議会を持つ行政区で一般にtown, villageよりも大きい) / 《the cit・y》《集合的に》都市の[全]市民,全市 / 《the Cit・y》シティ(Londonの旧市街で商業・金融の中心地域)
case	 〈C〉(…の)『実例』,事例《+『of』+『名』》 / 《the case》『実情』,真相 / 〈C〉〈U〉『場合』,情況,事情,立場 / 〈C〉(…の)(決定すべき)問題,重大事《+『of』+『名』》 / 〈C〉『訴訟』[『事件』],裁判 / 〈C〉(正当な)論拠,弁護;(被告または原告の)主張,申し立て / 〈C〉病状,容態;(症状から見た)患者 / 〈C〉〈U〉格(名詞・代名詞の語形変化)
once	 (ただ)『1度』,『1回』 / 『かつて』,以前 / 《否定文で》一度も(…しない);《条件節で》いったん…すれば / 『1度』,1回 / 『いったん』…『すれば』,…するとすぐに 
upon	 『…の上に』 
hear	 〈音〉‘が'『聞こえる』,‘を'聞く(進行形にできない) / 〈人の言うこと〉‘に'『耳を傾ける』,‘を'注意深く聞く(listen);(裁判官などが)…の申し立てを聞く / 〈うわさ・ニュースなど〉‘を'『耳にしている』,聞いている / 『耳が聞こえる』 / 《しばしば命令形で》耳を傾ける,注意を向ける / 『うわさ』(『消息』)『を聞く』
live	 『生きている』,生命がある / 《副詞[句]を伴って》〈人などが〉『生き続ける』 / 〈物事が〉長く続く,存続する / 《場所を表す副詞[句]を伴って》〈人などが〉『住む』,居住する / 《副詞[句]を伴って》『生活する』,暮らす / 生人を楽しむ,おもしろく桟らす / 《a+形容詞癌lifeを目的語にして》〈…を生活〉‘を'する / 〈思想など〉‘を'実銭する
side	 (物体)『面』 / (物体の)『側面』,わき / (紙・レコードなど平らな物の)『面』 / (中心線・分離線から見た)『片側』 / (中心部分から見て)…『側』 / (人間・動物の体の右または左の)『側面』,(特に)横腹,わき腹 / 《単随形で》(人の)『そば』,わき / (物の)端,へり;(図形の)辺 / (競技・争いなどの一方の)『側』,味方 / (事柄の持っている)一面,局面 / (父方または母方の)血統,…方(かた) / 側部の,側面の,わきの / 側部(側面)からの(への) / 二次的な,従の / 〈建物など〉‘に'側面を付ける / (…に賛成の(反対の))側につく《+『with(against)』+『名』》
name	 『名』,『名前』,姓名;(物の)名称;名義 / 《単数形で》『名声』;評判(reputation) / 悪口,悪態 / 《俗》有名な人 / 名のある,有名な,一流銘柄の / …‘に'『名をつける』,命名する / ‘を'『名を言う』 / 〈人〉‘を'指名する,任命する / (…に対して)…‘を'指定する《+『名』+『for』+『名』》 
read	 〈書かれた物・印刷された物〉‘を'『読む』 / 〈書かれた物・印刷された物〉‘を'『読み上げる』,読んで聞かせる / 〈外国語・文学・記号など〉を判読する,解読する / 〈事〉‘を'『読んで知る』 / 〈隠れた意味など〉‘を'『読み取る』,見抜く / 〈計器・時計が〉…‘を'示す,表示する(show) / 《文》(…を)…‘と'訂正して読む,読み替える《+『名』+『for』+『名』》 / 《英》(大学で)…‘を'学ぶ,専攻する / 『本を読む』,読書する / 『音読する』;(人に)読み上げる《+『to』+『名』》 / (…のことを)読んで知る《+『about』(『of』)+『名』》 / 《副詞[句]を伴って》〈本などが〉(…と)読める,読んでみると(…)である,〈物事が〉(…と)解釈される
cost	 〈品物が〉〈ある金額〉‘が'『かかる』,'を'要する / 〈物事が〉…'を'『犠牲にさせる』,失わせる / 〈仕事など〉‘の'手間(原価)を計算する / 『代価』,値段;《しばしば複数形で》経費,費用 / 《the cost》『犠牲』,損失 / 《複数形で》訴訟費用
mind	 〈U〉(思考・知覚・意志などをつかさどる)『心』,精神 / 〈C〉《単数形で》(心の働きによって生じた)『知性』,理性,理解力 / 〈U〉正常な精神状態,正気 / 〈C〉意見,考え方,物の見方 / 〈U〉記憶,回想 / 《one's~》注意,精神の集中 / 〈C〉《単数形で》願い,意向 / 〈C〉《前に形容詞を伴って》(…を備えた)人 / 《しばしば命令文で》…‘に'『注意する』,用心する / …‘の'番をする,世話をする(look after) / 〈人,助言など〉‘の'言うことを聞く,‘に'従う / 《否定・疑問・条件文で》…‘を'『気にする』,『気にかける』,いやだと思う / 《疑問文・否定文で》気にする,心配する,いやに思う 
next	 (時間・順序が)『次の』,すぐ後に続く;来…,翌… / (場所・位置が)『いちばん近い』,隣の / (時間・順序などの点で)『次に』,今度は / 次の人,次のもの
near	 (空間的・時間的に)(…の)『近くに』,(…に)接近して《+『to』+『名』》 / 《しばしば複合語を作って》『ほとんど』(almost, nearly) / (空間的・時間的に)『近い』,接近した / (関係などが)『身近な』 / 『きわどい』,やっとの / (空間的・時間的に)…『に近く』,『の近くに』 / (状態などが)…に近く,…しそうで / (時間・空間上)…‘に'近づく / 近づく,接近する 
girl	 『女の子』,『少女』,娘,未婚の若い女性 / 女店員,女事務員,お手伝い / 《one's ~》《話》恋人,ガールフレンド / (一般的に)女(woman) / 《話》娘(daughter) 
kind	 『親切な』,『優しい』,思いやりのある 
care	 〈U〉『心配』,気がかり,悩み / 〈C〉《しばしば複数形で》心配事,苦労の種 / 〈U〉『細心の注意』,十二分の用心 / 〈U〉(…の)『世話』,監督,保護《+『for(of)+名』》 / 〈C〉関心事,気を配るべきこと / 『気にする』,心配する,関心がある / …『したいと思う』,欲する,好む 
love	 〈U〉(…に対する)『愛』,愛情《+『for』(『of,to,toward』)+『名』》 / 〈U〉《時にa~》(物事に対する)『強い好み』,愛好《+『of』(『for』)+『名』》 / 〈U〉恋愛 / 〈C〉《my~》愛人,恋人 / 《夫・妻子・愛人に呼びかけて》おまえ,あなた / 〈C〉愛好するもの / 〈C〉(テニスで)零点 / …を愛する / 〈物事〉‘が'『大好きである』 / …‘に'『恋する』,ほれる / 愛する;恋する 
best	 (『good』の最上級;比較級は『better』)『いちばんよい』,最もよい,最良の / (『well』の最上級;比較級は『better』)『健康状態が最良の』(healthiest) / 最大の,大部分の / 《話》(反語的に)きわめてひどい,徹底した / (『well』の最上級;比較級は『better』)『いちばんよく』,最もよく,最も / 《通例過去分詞と結合して形容詞を作って》最もよく / 『最上』,最善,最良;最もすぐれた人々(物) / (…の)『最もよいもの』(部分)《+『of』+『名』》
hope	 …‘を'『望む』,期待する / 《『I hope』+『that節』》〈私は〉『…だと思う』 / 希望を抱く;(…を)望む,期待する《+『foe』+『名』》 / 〈U〉〈C〉『望み』,『希望』,期待 / 〈C〉期待される人(物) 
body	 〈C〉『身体』,肉体 / 〈C〉(人・動物の)『胴体』 / 〈C〉)物の)『主要部』,本体《+『of』+『名』》 / 〈C〉(…の)『団体』,群れ:(…のたくさんの)集まり《+『of』+『名』》 / 〈C〉物体,…体 / 〈U〉実質;(酒・味などの)こく / 〈C〉《話》人 
idea	 (心に浮かんだ)『考え』,思考;考えること / (はっきりとした)『意見』,信念,見解 / 『案』,計画,着想,意図,ねらい / (哲学上の)概念,理念
note	 〈C〉《複数形で》『覚え書き』,控え,メモ / 〈C〉(本文に対する)『注』,駐釈 / 〈C〉(形式ばらない)『短い手紙』,短信;外交上の文書 / 〈U〉『注目』,注意 / 〈U〉『重要性』(importance);顕著 / 〈C〉《単数形で》(声の)調子,(感情などの)しるし,兆候《+『of』+『名』》 / =promissory note / 〈C〉『紙幣』 / 〈C〉音楽;音符;(ピアノなどの)けん / …‘を'『書き留める』,記す / …‘に'『注意する』;…Iと'気づく / (取り立てて)…‘に'ついて言う,‘を'習す
talk	 『話す』,しゃべる,物を言う,口を利く / (考えなどを伝えるために)(…と…について)『語る』,話す,話し合う,論ずる《+to(with)+名+about(of, on)+名(doing, wh-節・句)》 / うわさ話をする;秘密をもらす / (言語以外の方法で)話す,合図する / …‘を'ことを話す,‘を'論ずる / 〈言語・方言〉‘を'話す,使う / 〈人〉‘に'話す / 〈C〉『話』,談話,おしゃべり;《複数形で》(正式な)『話し合い』,協議 / 〈C〉(…についての)(形式ばらない)『演説』,講演《+on(about)+名》 / 〈U〉うわさ,風説;《the~》うわさの種 / 〈U〉空論,むだ話 / 〈U〉話しぶり,口調
walk	 《様態・方向を表す副詞[句]を伴って》『歩く』,『歩いて行く』 / 『散歩をする』,ぶらつく / (特定の態度で)ふるまう,生きる / (野球で)フォアボールで一塁に出る / (バスケットボールで)(パス・ドリブルしないで)3歩以歩く / 〈場所・道など〉‘を'『歩く』 / 〈動物〉‘を'歩かせる;〈人〉‘と'いっしょに歩く,‘を'案内する / 〈時間〉‘を'歩いて費やす《+away+名,+名+away》 / (野球で投手がフォアボールを与えて)〈打者〉‘を'一塁に歩かせる / 『歩くこと』,歩行 / 『散歩』,遠足 / 『歩行距離』,道のり / 『歩道』,散歩道,遊歩道 / (特徴をもった)湾き方,歩きぶり / (人・動物の)並み足,正常歩 / 職業,地位 / (野球で)フォアボールで一塁に出ること 
hour	 〈C〉(60分としての)『1時間』(《略》h,H,hr,複hrs) / 〈C〉(時計で示される)『時刻』,時 / 〈C〉(ある事をする)特定の時間,定刻 / 〈C〉(一般的な)時,時間 / 《複数形》勤務(営業)時間 / 〈C〉1時間の道のり / 〈C〉(授業の)1時間,1時限;(大学などの)履習単位(1週間の授業時間数) / 《the~》現在
type	 〈C〉(…の)『型』,タイプ,類型,種類(kind)《+of+名》 / 〈C〉(その種類の特質を最もよく表している)『典型』,手本,模範《+of+名》 / 〈U〉《集合的に》活字;〈C〉(1個の)活字 / 〈U〉(印刷された)字体,活字 / 〈C〉(貨幣・メダルなどの)模様,図柄 / 〈C〉血液型(blood group) / …‘を'タイプに打つ / (…として)…‘を'分類する《+名+as+名(doing)》 / …‘の'型を決める / タイプライターを打つ
rate	 〈C〉『割合』,『率』 / 〈C〉《the~,a~》『速度』(speed),進度 / 〈C〉『値段』,『相場』;料金 / 〈U〉等級(class),(…)等 / 《複数形》《英》地方税 / (…の金額に)…‘の'『値段を決める』,見積もる《+『名』+『at』+『名』》 / …‘を'『評価する』,みなす / 《米話》…‘に'値する,‘の'価値がある / 『評価される』;みなされる 
easy	 (事が)『容易な』,骨の折れない / 『心配のない』,気楽な / 寛大な,甘い / (速度などが)ゆるやかな;(衣服などが)ゆったりした / 楽々と;のんきに 
sure	 《補語にのみ用いて》(人が)『確信して』,自信をもって / 《補語にのみ用いて》(物事が)『確実な』 / (修事が)『確固とした』,確実な / (人が)『信頼のおける』,安心のできる / 確かに,全く / (返答で)いいとも,もちろん(certainly)
thus	 『このように』,かくかくして / 『従って』,だから
grow	 『成長する』,育つ,〈植物が〉生える,茂る / (類・量・程などにおいて)『増大する』,大きくなる / 『しだいになる』 / …‘を'成長させる,大きくする,育てる / …から生じる(起こる) 
step	 『一歩』,歩み;一歩の距離,歩幅;短い距離 / (階段・はしごの)『段』,踏み段;《複数形で》『階段』 / (目的・目標への)『一歩』,一段階《+『to』(『toward』)+『名』》 / 足音 / 足跡 / 『歩調』,足取り;(ダンスの)ステップ / (目標に近づく)『手段』,方法,処置 / 階級,昇級 / (音楽で)音程 / (温度計などの)目盛り / 《方向を表す副詞[句]を伴って》(…の方へ)『歩む』,一歩踏み出す,行く / (…を)踏みつける《+『on』+『名』》 / 〈足〉‘を'踏み出す;〈ダンス〉‘の'ステップを踏む / …‘を'歩測する《+『off』(『out』)+『名』,+『名』+『off』(『out』)》 / 〈段〉‘を'切り込む 
true	 『ほんとうの』,真実の / 『本物の』,正真正銘の(real) / 『誠実な』,忠実な,忠誠な(faithful) / 心からの,うそ偽りのない / 寸分違わない,正確に一致する,適合する / 正当な,適正な,正しい(proper) / 間違いない,確実な / <機械・器具などが>正確にできた,正しい位置にある;<声などが>正しい調子の / うそをつかないで,正直に / 寸分違わないように,確実に / 先祖の型どおりに / …‘を'正しく調整する《+up+名,+名+up》
deal	 …'を'『分配する』,分ける / 《『deal』+『名』+『名』=『deal』+『名』+『at』(『to』)+『名』》〈打撃・仕打ちなど〉'を'…‘に'『加える』 / 〈U〉取引き / 〈C〉(取引きなどの)妥協,協定 / 〈C〉カードゲームの札の配分 / 《D-》政策(policy) / 《a~》《話》取扱い,待遇 
land	 〈U〉(海・川・湖に対して)『陸』,陸地 / 〈U〉(性質・用途から見た)『土地』,土壌(ground, soil) / 〈C〉『国』,国土(country) / 〈C〉(特定の)地域の住民,国民 / 《the lands》(特定の)地域,地帯 / 〈U〉〈C〉(財産としての)土地,所有地 / (…に)〈飛行機などが〉『着陸』(『着水』)『する』《+『at』(『in, on』)+『名』》 / (…に)〈船が〉『着岸する』,陸づけする《+『at』(『in』)+『名』》 / (…に)〈人が〉船から上陸する《+『at』(『in, on』)+『名』》 / (ある所・物に)〈物が〉当たって止まる;〈鳥が〉舞い降りる《+『at』(『in, on』)+『名』》 / (悪い状態に)なる,陥る《+『up in』+『名』》 / (…に)〈飛行機など〉‘を'着陸させる《+『名』+『at』(『in, on』)+『名』》 / (…に)〈人・貨物など〉‘を'上陸させる,陸揚げさせる《+『名』+『at』(『in, on』)+『名』》 / (悪い状態に)〈人〉‘を'陥らせる《+『名』+『in』+『名』》 / (陸・船内に)〈魚〉‘を'引き(釣り)上げる / 《話》〈職・賞など〉‘を'得る,獲得する
town	 〈C〉町 / 《the~;一つの町を指して言うとき a~》(田舎と区別して)『都会』;都会生活 / 《冠詞をつけずに》都心,(商店の立ち並ぶ)下町 / 《冠詞をつけずに》(ある地域の)主要な町(市);(一国の)首都 / 《the~》《集合的に;単数扱い》町の人たち,町民 
past	 『過ぎ去った』,終わった(over) / 《名詞の前にのみ用いて》『過去に起こった』,過去の,昔の / 《期間を表す語の前後で完了形の文で用いて》(…の期間を)『過ぎた』,最近(…)の / 《名詞の前にのみ用いて》『前任の』,元の / (文法で)過去の / (場所)『を通り越して』,の先に / (時刻)『を過ぎて』;(年齢)を過ぎて / (能力・限度など)『を越えて』,の及ばない / (ある数・量)『を越えて』,…以上 / 《the~》『過去』 / 《a~,one's~》(国などの)歴史;(人の)経歴,(特にいかがわしい)過去 / 過去[時制];過去形 / 『過ぎて』,通り越して 
view	 〈C〉〈U〉(…を)『見ること』,ながめること,一見,一覧《+of+名》 / 〈U〉(…の)『視界』,視野《+of+名》 / 〈U〉《しばしばa ~》(…の)『ながめ』,光景,けしき《+of+名》 / 〈C〉(…の)風景画(写真)《+of+名》 / 〈C〉《しばしば単数形で》『見方』,考え方,見解 / 〈C〉意図
half	 〈C〉〈U〉『半分』,2分の1;約半分 / 〈U〉《時刻を表す数詞と共に用いて》『半』,30分 / 〈C〉《おもに英》(2学期制の学校での)前(後)期 / 〈C〉(競技などの)前(後)半;(野球で1イニングの)表(裏) / 〈C〉=halfback / 『半分の』 / 不十分な,中途はんぱな / 『半ば』,半分[だけ] / 半時間だけ,30分だけ / 不完全に / かなり,ほとんど 
fire	 『火』,炎 / 〈C〉『燃えているもの』,炉火,たき火 / 〈C〉〈U〉『火事』,火災 / 〈U〉(火のような)熱情,情熱 / 〈U〉(鉄砲などの)発射,射撃,砲火 / <炉など>‘に'『燃料をくべる』,‘の'火をたく《+『up』+『名,』+『名』+『up』》 / …‘に'『火を付ける』,‘を'燃やす / <陶器など>‘を'焼く,焼いて作る / (…に向けて)<銃砲など>‘を'撃つ,<弾丸・ロケットなど>‘を'発射する《+『off』+『名』(+『名』+『off』)+『at』+『名』》 / (…で)<感情など>‘を'燃え立たせる,<人>‘を'興奮させる《+『名』+『with』+『名』》 / 《話》(…)<石・ボールなど>‘を'投げつける,<質問・批評など>‘を'浴びせる《+『名』+『at』+『名』》 / 《話》(…から)<人>‘を'首にする,解雇する(dismiss)《+『名』+『from』+『名』》 / (…に向かって)<人が>『発砲する』,<銃などが>発射される《+『名』+『at(into,on,upon』)+『名』》 
lose	 〈物〉‘を'『失う』,なくす,〈人・道など〉‘を'見失う,〈仕事・権利・命など》‘を'失う / 《『lose』+『名』+『名』》〈物事が〉〈人〉‘に'…‘を'失わさせる / 〈勝負事・訴訟・戦争など〉‘に'『負ける』 / …‘を'『保つことができなくなる』 / …‘を'免れる,脱する / …‘を'『逃す』,むだにする / 〈時計が〉〈ある時間〉‘だけ'『遅れる』 / (…で)損をする,(…を)失う《+『in』(『on』)+『名』》 / (試合・ゲームなどで)負ける《+『in』+『名』》 / 〈時計が〉遅れる
stop	 〈動いているもの〉‘を'『止める』 / 〈供給など〉‘を'停止する / …‘を'阻止する,やめさせる / 〈自分がしていること〉‘を'『やめる』,中断する / 〈穴・口など〉‘を'ふさぐ,〈びんなど〉‘に'せんをする / 〈相手の一撃など〉‘を'かわす;〈相手〉‘を'打ち負かす,ノックアウトする / 〈楽器の弦・穴〉‘を'指で押さえる,〈音〉‘を'指で押さえて出す / 〈動いているものが〉『止まる』,停止する,立ち止まる / 〈仕事・話などが〉『中断する』;〈雨などが〉やむ / 〈人が〉仕事(話など)をやめる,手を休める,一息つく / 《話》(…に)滞在する,とどまる《+『at』+『名』〈場所〉『,』+『with』+『名』〈人〉》 / 『止まること』,停止,中止,中断 / (旅先での)短期間の滞在,立ち寄り / (道路の)停留所 / (穴などを)ふさぐこと…(びんなどの)せん / (パイプオルガンなどの)ストップ,音栓(肝先) / 句読点,(特に)終止符 / (レンズの)絞り / 閉鎖音([p][b][k]など) 
wait	 『待つ』 / 〈事が〉そのままにしておける,延期できる / (期待して)〈機会・合図など〉‘を'『待ち受ける』,待機する / 《話》(人や物を待って)…‘を'遅らせる / 〈C〉待つこと;待ち時間 / 〈U〉待ち伏せ
able	 《補語にのみ用いて》《『be able to』 do》(…することが)『できる』 / 『有能な』,腕ききの,並々ならない
draw	 …‘を'『引く』,引っぱる / 《副詞[句]を伴って》…‘を'『引いて』(ある状態に)『する』 / (…から)…‘を'『引き抜く』,取り出す《+『名』+『from』(『out of』)+『名』》 / (…から)〈液体など〉‘を'『くみ出す』,くみ上げる《+『名』+『from』+『名』》 / (…から)…‘を'得る,引き出す《+『名』+『from』+『名』》 / 〈事〉‘を'招く,もたらす / 〈人〉‘を'引きつける,引き寄せる / 〈絵・図〉‘を'『線で描く』,〈線〉‘を'引く / …‘を'描写する,述べる / 〈文書〉‘を'書く,作成する;〈小切手〉‘を'振り出す / 〈息〉‘を'吸い込む;〈ため息〉‘を'つく / …‘を'引き伸ばす,いっぱいに張る / 〈くじなど〉‘を'引く,引き当てる / 〈勝負など〉‘を'引き分ける / 喫水が…‘だけ'ある / 《副詞[句]を伴って》『動く』,『近づく』,行く / (…に向けて)剣(ピストル)を抜く《+『on』+『名』》 / 《副詞[句]を伴って》人を引き付ける / 《副詞[句]を伴って》『線で書く』 / くじを引く / 《副詞[句]を伴って》〈水が〉はける,〈パイプ・煙突などが〉通る / (勝負などが)引き分けになる / 〈茶などが〉出る / 〈船が〉喫水する / 引くこと,抜くこと,(たばこなどの)一吸い,一服 / (人を)引きつけるもの,呼び物,人気者 / くじ引き,抽せん(lot) / 引き分け,無勝負
wife	 『妻』,女房,奥さん,夫人 / 《古》(特に結婚した)女
road	 『道路』,『道』;街道 / (都市・町の)…街,…通り(street);《the…Roadとして》…街道;通例Rdと訳し固有名詞に付て / (ある目的に至る)『道』(course),手段(means)《+『to』+『名』》 / 鉄道(railroad) / =roadstead 
send	 〈物〉‘を'『送る』,届ける;〈人〉‘を'『行かせる』,派遣する / (ある状態に)〈人〉‘を'送りこむ,させる / (…へ)〈弾丸・球・一撃など〉‘を'放つ,送りこむ《+『名』+『to』(『into』)+『名』》 / 〈音・光・手紙・人など〉‘を'出す,送り出す《+『forth』(『off, out』)+『名』》 / 人をやる,使いを送る / 手紙をやる,便りをする
term	 〈C〉『専門用語』,術語 / 〈C〉(一般に)語[句],言葉 / 《複数形で》言い方,言葉遣い / 〈C〉『期間』 / 〈C〉〈U〉『学期』 / 《複数形で》(人との)間柄,仲《+with+名》 / 《複数形で》(協定などの)『条件』;要求額,値段 / 〈C〉(数式で)項 / 《term+名〈目〉+名(形)〈補〉》(…と)…‘を'名づける,呼ぶ 
rise	 《文》『立ち上がる』《+『up』》 / 《文》『起床する』,起きる / (下から上へ)『上がる』,上昇する,昇る / 〈土地が〉上り[坂]になる / 〈山・建物などが〉そびえ立つ(進行形にできない) / 〈…の数量・価値・程度・力などが〉増す,増大する,増加する / 〈地位・身分などが〉(…から…へ)上がる,高くなる《+『from』+『名』+『to』+『名』》 / 〈川などが〉高さを増す,増水する / 〈パンなどが〉ふくれる / (…に)源を発する,始まる《+『from』(『in』)+『名』》(進行形にできない) / (…に)反乱を起こす,背いて立ち上がる《+『against』+『名』》 / 生き返る,よみがえる / (表面に)浮かび上がる / (…に)応じて立ち上がる,うまく対処する《+『to』+『名』》 / 〈C〉(…の)『上昇』《+『of』+『名』》 / 〈C〉(数量・価値・程度などの)増大,増加《+『in』(『of』)+『名』》 / 〈U〉立身;繁栄 / 〈C〉(…の)上り坂,上り勾配(こうばい)《+『in』(『of』)+『名』》 / 〈C〉丘,高台 / 〈C〉(…の)起源,始まり《+『of』+『名』》 / 《英話》昇給,昇給額(《米》raise) / 〈C〉魚がえさを求めて水面に浮き上がること
rest	 〈U〉〈C〉『休息』,休憩,休養;休息の時間(期間);(…から)解放されて休むこと《+『from』+『名』》 / 〈U〉〈C〉睡眠(sleep) / 動かないこと,停止,静止 / 〈C〉《複合語に用いて》「(物を載せる)台,支え」の意を表す / 〈U〉《詩》死,永眠 / 〈C〉(音楽で)休止;休止符 / 『休む』,『休息する』;(仕事などを)やめて休む《+『from』+『名』》 / 『安心する』,落ち着く,くつろぐ / (…に)『載っている』,『支えられている』《+『on』(『upon』)+『名』》;(…に)もたれている(lean)《+『against』+『名』》 / 〈光・視線などが〉(…に)注がれる,じっと留まる《+『on』(『upon』)+『名』》 / (変化しないで)そのままでいる,休止(静止)する / 永眠する / (訴訟事件で)証拠提出を自発的に中止する / 《しばしば受動態で》…‘を'『休息(休養)させる』,休ませる / (…に)…‘を'置く,載せる,基づかせる《+『名』+『on』(『upon』)+『名』(do『ing』)》;(…に)…‘を'よりかからせる》+『名』+『against』+『名』》 / 〈訴訟事件〉‘の'証拠提出を自発的に中止する
bear	 〈C〉『クマ』 / 〈C〉乱暴者 / 〈C〉(株式で)売り方 / 《the B-》クマ座
west	 《the west》『西』;(…の)西方,(…の)西部《+of+名》 / 《the West》『西洋』西欧,欧米 / 《the West》《米》西部地方 / 《the West》(共産圏に対して)西側[諸国],西側陣営 / 『西の』,西部の,西向きの;西からの / 『西へ』,西に;西方に
hard	 (物体が)『堅い』,(手触りが)堅固な,しっかりした / 『難しい』,努力を要する / 《名詞の前にのみ用いて》(人が)『精力的な』,勤勉な / 激しい,猛烈な / (生活などが)耐え難い,つらい / (季節・天候などが)厳しい;(雨・風などが)激しい / (人が)厳格な;(行為などが)容赦しない,無情な / (方針・条件などが)妥協(譲歩)しない,厳しい / (感情が)うらみを含む,憤然とした / (体が)筋肉質の,がんじょうな / (紙幣に対して)硬貨の,(小切手などに対して)現金の;(貨幣が)容易に兌換(だかん)できる / (子音が)硬音の(c,gがcome, goのように[k],[g]と発音される) / アルコール分の多い / (水が)硬質の / (エックス線が)透過能力が大きい / 一生懸命に,『熱心に』 / 『強く』,激しく,大いに / やっと,かろうじて / 『堅く』 / ひどく悲んで / 接近して 
dark	 『暗い』やみの / (毛髪・皮膚・目の)『浅黒い』,(色の)濃い / 陰うつな,陰気な(gloomy) / 腹黒い,悪意のある(evil) / 隠した,秘密の / (意味が)明らかでない,なぞめいた / 未発の;無知の / 〈U〉《the~》『やみ』,暗がり(darkness) / 《冠詞なしで》『夜』(night);『日暮れ』(nightfall) / 〈U〉暗い色,濃い陰
rule	 〈C〉『規則』,規定;法則 / 〈C〉『慣例』,慣習;通例,通則 / 〈U〉『支配』,統治;統治期間;統治権 / 〈C〉ものさし,定規(ruler) / 〈国・人など〉‘を'『支配する』,統治する,統御する / 《しばしば受動態で》〈感情などが〉〈人,人の行動など〉‘を'左右する,動かす / 〈裁判所・裁判官などが〉…‘と'裁決する,決定する / 〈紙〉‘に'線を引く / (…を)『支配する』,統治する《+『over』+『名』》 / (…について)裁決する,判定する《+『on』+『名』》;(…に反対の)裁決をする《+『against』+『名』(do『ing』)》・〈米俗〉抜群である、最高である
farm	 『農場』,農園(通例住宅・納屋などを伴い,しばしば家畜も飼育される) / (家畜の)『飼育場』,(魚貝の)養殖場 / 〈土地〉‘を'耕作する;〈農場・飼育場〉‘を'経営する 
firm	 (物が)『堅い』,堅固な,引き締まった / 『しっかり固定した』,ぐらつかない / (人・信念・友情などが)変わらない / 断固とした,決然たる / (価格・価値が)安定している / しっかりと / …‘を'固める,堅くする《+『up』+『名,』+『名』+『up』》 / …‘を'安定させる / 安定する《+『up』》 
fear	 〈C〉〈U〉『恐れ』,恐怖(dread) / 〈C〉〈U〉『不安』,心配,気づかい(anxiety) / 〈U〉(神に対する)おそれ,崇敬(awe) / …‘を'『恐れる』,こわがる(進行形にできない) / …‘を'『気づかう』,あやぶむ / 《古》〈神など〉‘を'恐れる / 恐れる,こわがる / (…を)気づかう,心配する《+『for』+『名』》
list	 (…の)『表』,一覧表,目録,明細書;『名簿』,カタログ《+『of』+『名』》 / …‘を'『表にする』,‘の'一覧表を作る / …‘を'目録(名簿)に載せる;(…として)…‘を'記録する《+『名+as+名(doing』)》 
mile	 〈C〉『マイル』(長さの単位;1609メートル) / 《the ~》1マイル競走(mile race) / 〈C〉《複数形で》《話》長い距離;多量,たくさん 
slow	 (速度・動作などが)『遅い』,のろい / 《補語または名詞の後にのみ用いて》(時計などが)『遅れている』 / 『ゆったりした』,あわてない / (人が)理解の遅い,頭の鈍い / (生活・パーティーなどが)『活気のない』,おもしろくない / 遅く,ゆっくり(slowly) / 『遅くなる』,速度を落とす《+『down』(『up』)》 / …‘を'『遅くする』,‘の'速度を落とす《+『名』+『down』(『up』),+『down』(『up』)+『名』》
