abed	 寝床に(in bed) 
craw	 (鳥・昆虫の)え袋;(動物の)胃袋 
crew	 (船・飛行機の)『乗組員』[全員];(高級船員を除いた)船員,(高級乗務員を除いた)搭乗(とうじょう)員 / (共同の仕事をする)従業員[全員],作業団[全員] / (ボートレースの)クルー / 《話》仲間,連中
crib	 《おもに米》わく付きの)小児用寝台《英》cot) / (横木のついた)かいばおけ / 《米》(穀物・塩などの)貯蔵箱,貯蔵小屋 / (鉄や木の)わく / 《話》(他人の言葉・アイデアの)盗用,無断借用《+『from』+『名』》 / 《話》(学生の)とらの巻(pony) / 《英》=creche2 / (狭いところに)'を'押し込む / 《話》…'を'盗用する / カンニングする
crop	 〈C〉《しばしば服数形で》『作物』,『収穫物』 / 〈C〉(一地域で一期にとれる農作物の)『収穫』[『高』],生産[高],作柄 / 〈U〉作付け,植う付け,耕作 / 〈C〉《通例単数形で》(同時に,または続々と出てくる人・物の)群れ《+『of』+『名』》 / 〈C〉《通例単数形で》(髪の)刈込み,いがぐり頭 / 〈C〉(鳥の)え袋,そのう / 〈C〉(動物の耳を切って目じるしにする)耳じるし / 〈C〉乗馬むち;むちの柄 / 〈草・毛などの先〉'を'刈り込む,かみ切る / (…を)…‘に'植え付ける《+『名』+『with』+『名』》 / 作物ができる;作物を植える 
crow	 『カラス』 / =crowbar
crux	 最も重要な点 / 難問,なぞ
cube	 〈C〉『立方体』;立方体の物(さいころ,敷石,木れんがなど) / 〈U〉立方,3乗 / 〈数〉'を'3乗する / ''を'立方体に切る
cubs	 ボーイスカウト幼年団 
cult	 (宗教的)儀式;信仰,祭礼 / (人・物に対する)崇拝,礼賛,…熱《+『of』+『名』》
cunt	 女性の性器 / 《軽べつに用いて》ばか,くそったれ
curb	 (馬の)くつわ鎖,止めぐつわ / 拘束,抑制 / 《米》(歩道を車道と区分するため縁にそって並べた)縁石(《英》kerb) / (止めぐつわで)〈馬〉'を'制御する / 〈感情・欲望など〉'を'抑制する 
curd	 《しばしば複数形で;単数扱い》凝乳,カード(チーズの原料) / 凝乳状の食品
cure	 〈病気・病人〉'を'『治療する』,なおす / 〈悪癖・弊害など〉'を'『なおす』,取り除く / (塩づけ・燻製(くんせい)などにして)〈魚・肉など〉'を'保存する / 〈病気が〉なおる / (塩づけ・燻製などにして)〈魚・肉などが〉保存させる / 〈U〉〈C〉(病気の)『回復;治療』 / 〈C〉(…の)『治療薬』;『治療法』《+『for』+『名』》 
curl	 〈C〉『巻き毛』カール;《複数形で》巻き毛の髪 / 〈C〉うず巻き[状のもの],うねり / 〈C〉〈C〉カールすること,ねじれ / 〈頭髪〉'を'カールさせる / |'を'曲げる,ねじる / 〈頭髪が〉カールする / 〈煙が〉うず巻く 
curt	 (言動などが)そっけない,ぶっきらぼうな 
cusp	 (歯などの)とがった先 / (新月の)先端
cute	 (小供・物などが)『かわいい』,気のきいた 
cyan	 青緑色,シアン 
cyme	 集散花序(植物の花の咲き方の一つ) 
cyst	 胞嚢(ほうのう) 
czar	 帝政ロシアの皇帝 / 専制君主;独裁者
dabs	 指紋 
dace	 ウグイ,アカハラ(北米・欧州産の淡水魚) 
daft	 とんまな / 気違いじみた
dago	 《軽べつして》スペイン(ポルトガル,イタリア)系の人 
dais	 (大広間・宴会場などの)上段;(講堂の)演壇,教壇 
dale	 谷(valley) 
dame	 《古》貴婦人(lady),夫人(madam) / 《D-》《英》(1)(もと)knight(またはbaronet)の夫人 / (2)knightに相当する勲位に叙せられた婦人の呼称 / 年配の婦人 / 《米俗》女 
damn	 …'を'『けなす』,酷評する / 〈神が〉〈人〉'を'地獄に落とす,永遠に罰する / …'を'破滅させる,だめにする / …'を'のろう / 〈U〉〈C〉ののしり,けなし / 〈C〉《話》《否定文に用いて》《a~》少し / =damned / =damnation
damp	 〈U〉『湿気』,しめり(moisture) / 〈U〉もや,霧(mist) / 〈U〉(鉱山の)有毒ガス / 《a~》気持ちのめいらせるもの / 『湿っぽい』,湿気のある / …'を'湿らせる / …‘の'勢いを弱める,そぐ《+『down』+『名,』+『名』+『down』》 / 〈ピアノ・弦楽器の弦〉‘の'振動を弱める(押える)《+『down』+『名,』+『名』+『down』》
dank	 じめじめした,湿っぽい 
dare	 『あえて…る』 / 《『dare to』 do》『思いきって…する』,…する勇がある / 〈危険など〉‘に'『立ち向かう』 / 〈人〉‘に'『挑む』,挑戦する(challenge) / 挑戦[すること](challenge) 
dark	 『暗い』やみの / (毛髪・皮膚・目の)『浅黒い』,(色の)濃い / 陰うつな,陰気な(gloomy) / 腹黒い,悪意のある(evil) / 隠した,秘密の / (意味が)明らかでない,なぞめいた / 未発の;無知の / 〈U〉《the~》『やみ』,暗がり(darkness) / 《冠詞なしで》『夜』(night);『日暮れ』(nightfall) / 〈U〉暗い色,濃い陰
darn	 〈ほころび〉'を'縫い繕う,かがる / 縫い繕った所,かがり縫い
dart	 (武器の)『投げやり』,(投げ矢遊びの)投げ矢 / (昆虫の)針 / 《複数形で》投げ矢遊び / 《a~》急激な突進 / ダーツ(洋服を体に合わせるための縫いつまみ) / (…に)〈やり・矢,視線など〉'を'投げる,投げかける / (投げ矢のように)『突進する』,さっと動く 
dash	 《副詞[句]を伴っで》『突進する』 / (…に)『衝突する』,激しくぶつかる《+『against』(『into, onto』)+『名』》 / (…に)…'を'『打ちつける』,投げつける《+『名』+『against』(『into, to』)+『名』》;…‘に'打ちつける / 〈元気・希望など〉'を'くじく,〈人〉'を'落胆させる(depress) / (…に)〈木など〉'を'ぶっ掛ける,浴びせる《+『名』+『in』(『on, over』)+『名』》;(水などを)…‘に'ぶっかける《+『名』+『with』+『名』》 / 〈C〉《a~》(…への)『突進』,疾走(rush)《+『at』(『for』)+『名』》 / 《the~》短距離競走 / 《the~》(…に)打ちつける音《+『against』(『on』)+『名』》 / 〈C〉(元気・希望などを)くじくもの,(…の)障害《+『to』+『名』(do『ing』)》 / 〈C〉(混合・添加する)(…の)少量《+『of』+『名』》 / 〈U〉映気;(…する)気力《+『to』 do》 / 〈C〉ダッシュ(一の符号) / 〈C〉モールス信号の長音 
date	 〈C〉『日付』,年月日 / 〈U〉(歴史上の)『時代』,年代 / 〈C〉(…の)約束[の日]《+『for』+『名』》;《話》(異性との)デート《+『with』+『名』》 / 〈C〉《おもに米話》デートの相手 / 《複数形で》(ある人の)生没期間,生没年;(物事の)開始と終了の期日 / …‘に'『日付を入れる』,年月日を書く / …‘の'『年代』(『時代』)『を定める』,年代を算定する / …'を'古くさくする,時代遅れにする / 《おもに米話》〈異性〉‘と'デートする / 『日付がある』;(特定の時代に)『始まる』,(…に)起源をもつ《+『from』(『back to』)+『名』》 / 時代遅れになる / 《おもに米話》デートする
daub	 (塗料などで)…'を'塗りつぶす《+『名』+『with』+『名』》 / (…に)〈塗料など〉'を'塗り付ける《+『名』+『on』+『名』》 / へたくそに(雑に)塗る(描く) 
dawn	 〈U〉〈C〉『夜明け』,暁(daybreak) / 《the ~》(物事の)『始まり』,端緒《+『of』+『名』》 / 『夜が明ける』,明るくなる / 〈物事が〉はっきりして来る,現れ始める
days	 たいてい昼間は 
daze	 (打撃・衝撃などで)…'を'ぼう然とさせる / ぼうっとした状態
deaf	 『耳が遠い』,耳が不自由な / 《the deaf;名詞的に》耳が不自合な人々 / 《補語にのみ用いて》(…を)『聞こうとしない』(…に)むとんじゃくである《+『to』+『名』》 
deal	 …'を'『分配する』,分ける / 《『deal』+『名』+『名』=『deal』+『名』+『at』(『to』)+『名』》〈打撃・仕打ちなど〉'を'…‘に'『加える』 / 〈U〉取引き / 〈C〉(取引きなどの)妥協,協定 / 〈C〉カードゲームの札の配分 / 《D-》政策(policy) / 《a~》《話》取扱い,待遇 
dean	 (大学の)学部長 / (米国の大学の)学生部長;(英国の大学の)学生監 / (英国国教会で)司祭長;(ローマカトリック教会の)司教地方代理 / (団体の)長老
dear	 『親愛な,かわいい』(much loved) / (手紙の書き出しのあいさつの)『親愛なる』,尊敬する / 『大事な』,貴重な;(…にとって)大事な《+『to』+『名』》(precious) / 高い/,高価な / 『高価に』,高く / 『かわいい人』,大切な人,いい子 / 『おや,まあ』(驚き・同情・悲しみ・困惑などを表す) 
debt	 〈U〉〈C〉『借金』;負債 / 〈C〉『恩義』,義理(obligation)
deck	 『デッキ,甲板』 / デッキ状の部分(バス・電車の床,トラックの荷台,電気装置の配置台など) / 《おもに米》(カードの)1組(《英》pack) / 《話》地面 / (…で)…'を'飾る,装飾する《+『out』+『名』+『with』+『名』》 / (…で)…'を'美しくする,めかす《+『out』+『名』+『in』+『名』》
defs	 definitions 
deft	 器用な,巧みな,じょうずな 
defy	 《『defy』+『名』+『to』 do》(…してみよと)〈人〉に『挑む』,挑戦する / …'を'『無視する』,ものともしない / 〈物事が〉…'を'『拒む』,受け付けない 
dent	 くぼみ,へこみ / …‘を'くぼませる,へこませる / へこむ,くぼむ 
deny	 …‘を'『否定する』,否認する / 《『deny』+『名』+『名』=『deny』+『名』+『to』+『名』》〈人・自分〉‘に'…‘を'与えない(許さない)
derv	 ダーブ(ディーゼルエンジン用燃料油;商標名) 
desk	 『机』,勉強机,事務机 / 受付所,応接所 / (新聞社・役所などの)部局 
dewy	 露の降りた露にぬれた / 露に似た,露のように新鮮な
dhow	 ダウ船(アラビアの帆船) 
dial	 (時計の)『文字盤』;(各種計器類の)目盛り盤,指針盤 / (ラジオ・テレビの)『ダイヤル』 / (電話の)ダイヤル / 日時計(sundial) / 〈ラジオ・テレビ〉‘の'ダイヤルを回す;〈番組・波長〉‘に'ダイヤルを合わせる / 〈電話・番号〉‘の'ダイヤルを回す;〈人〉‘に'電話をかける / (電話の)ダイヤルを回す 
dice	 さい,さいころ / さいころ遊び,ばくち / …‘を'ばくちで失う / (…をかけて)〈人〉‘と'さいころを振る《+『名』+『for』+『名』(『wh-節』)》 / 〈野菜など〉‘を'さいの目に切る / ばくちをする
dick	 《米俗》デカ,刑事 / 《卑》陰茎
diet	 (日本・デンマーク・スウェーデンなどの)『議会』,国会 
dime	 ダイム(米国およびカナダの10セント銀貨) 
dine	 (一日のおもな食事として)正餐(晩餐)をとる 
ding	 〈鐘など〉‘を'ガンガン鳴らす / 〈鐘などが〉ガンガン鳴る / (鐘の)ガンガン鳴る音 
dink	 ドロップショット(ネット上すれすれに打つテニスの打法) 
dint	 (打ってできた)くぼみ,へこみ(dent) / (たたいて)…‘を'へこます(dent)
dire	 恐ろしい,ものすごい;不吉な / 差し迫った(urgent);極端な
dirk	 (昔スコットランドで用いた)短剣 
dirt	 『不潔な物』,汚物;泥,ほこり,ごみ / 土(soil) / 無価値なもの / わい談,春画,わいせつ本(pornography) / 《話》卑わいな言葉;(特に)卑わいな悪口 
disc	 =record / =disk
dish	 〈C〉(全員分の料理を盛る)『大皿』,盛り皿,深皿 / 《しばしばthe ~》《複数形で集合的に》(食事に用いる,おもに陶器製の)皿類,食器類(plates,bowls,saucers,cups,knives,forksなどの総称) / 〈C〉(皿に盛られた)『料理』,食品 / 〈C〉(…の)皿1杯の分量,一皿分《+『of』+『名』》 / 〈C〉《話》可愛い女の子 / 〈食物〉‘を'皿に盛る;〈人〉‘に'盛りつけて出す《+『名』+『up』,+『up』+『名』》
disk	 『円盤』;円盤の表面 / 植物,動物の平たく丸い組織・部分;椎間板(ついかんばん) / (数学で)円板(円によって囲まれた範囲) / レコード
diva	 (オペラなどの)プリマドンナ 
dive	 (…から水中などに)『頭から飛び込む』《+『from』(『off』)+『名』+『into』(『in』)+『名』》 / (…を取ろうと)『潜る』,潜水する《+『down for』+『名』》 / (…へ向かって)急降下する,急潜航する《+『down toward』+『名』》 / (…に)駆け込む,逃げ込む《+『into』+『名』》 / (…に)手を突っ込む《+『in』(『into』)+『名』》 / (仕事・問題などに)飛び込む《+『in』(『into』)+『名』》 / …‘を'急降下させる,急潜航させる / 『飛び込み』 / (飛行機の)急降下;(潜水艦・潜水夫などの)急潜航 / 《話》怪しげなナイトクラブ,いんちき酒場
dock	 『波止場』,埠頭(ふとう) / (入港中の船を入れておく)船だまり / (造船,修理用の)『ドック』,船渠(せんきょ) / 〈船〉‘を'ドックに入れる / 〈2個以上の宇宙船〉‘を'大気圏外で連結させる / 〈船が〉ドックにはいる / 〈宇宙船が〉大気圏外で連結する,ドッキングする 
doer	 (思索型の人に対して)実行家,行動家 
does	 doの三人称・単数・直説法現在形 
doge	 ドージェ(昔のベニス・ジェノバ共和国の総督) 
dole	 (金銭・食物の)施し物 / 《英話》失業手当 / 《dole out+名,dole+名+out》〈金銭・食物〉‘を'少しずつ分配する,けちけち与える 
dolt	 まぬけ,とんま 
dome	 (半球形の)『丸屋根』,丸天井,ドーム / 丸屋根状のもの / …‘に'ドームをつける,‘を'ドームでおおう 
done	 doの過去分詞 / 仕上がった,完成した / 「(食べ物が)焼けた」の意を表す 
dope	 〈U〉ドープ(機械の潤滑剤);ドープ塗料(航空機翼などに塗る) / 〈U〉《話》(人・馬の)興奮剤,麻酔薬,麻薬 / 〈U〉《俗》(特に確かな筋の)情報 / 〈C〉《俗》まぬけ,ばか者 / …‘に'ドープ塗料を塗る / 《話》〈人・馬〉‘に'興奮剤(麻薬)を飲ませる
dorm	 =dormitory 
dory	 (北米東海岸地方で用いられる)平底船(タラ漁用) / (また『John Dory』)マトウダイ(大きな食用魚)
dose	 (おもに飲み薬1回分の)『服用量』 / (痛いこと・いやなことの)1回分,一定量 / (人などが受ける放射線の)線量 / 性病 / (…を)…‘に'投薬する,服用させる《+『名』+『with』+『名』》 
dost	 doの二人称・単数・現在形 
dote	 もうろくする / (…を)溺愛(できあい)する《+『on』(『upon』)+『名』》
doth	 doの三人称・単数・現在形 
dour	 むっつりした,陰気な / 厳格な,厳しい(stern)
dove	 『ハト』(pigeonのうち比較的小さいもの;平和の象徴とされる) / 《おもに米》(平和的な態度をとる)ハト派の人(政治家)
down	 (高い所から)『下へ』,降りて,地面へ / (地理・地図上)南へ,下町へ;(風・流れなどが)『下(しも)手へ』;《英》(都会・大学から)地方へ,離れて / (価格・品質・温度などが)『下がって』,(数量・スピードなどが)少なく,減じて,(濃度が)薄く / (健康・風の勢いなどが)『衰えて』,気分が沈んで / (時代などが)下がって,…に至るまで / (身分・地位が)下がって / (紙面に)書き留めて,記録して / (頭金を)現金で,即金で / 最後まで,徹底的に / しっかりと,動けないように / (高い所から)…『を下がって』;…『に沿って』;…の向こうに / …の下流に / …以来 / 《名詞の前にのみ用いて》『下りの』,下への / 《名詞の前にのみ用いて》(列車・バスなどが)下りの / 《補語にのみ用いて》下に,下がって / 《補語にのみ用いて》弱まった,おさまった;落胆した,元気のない / 《補語にのみ用いて》(勝負で)負けて,すって / 《補語にのみ用いて》《おもに米話》(野球で)アウト / …‘を'打倒する,負かす,撃ち落とす / …‘を'飲み干す,飲み込む / 下り,下降 / 《複数形で》不運,逆境 
doze	 うたた寝をする,居眠りをする《+『off』》 / 〈時〉‘を'うとうとと過ごす《+『away』+『名』》 / うたた寝,居眠り 
dozy	 眠そうな;眠気を催させる / 《英話》(人が)愚かな
drab	 単調な,退屈な,おもしろくない / くすんだ茶色の / くすんだ茶色,灰色がかったかっ色,土(つち)色 
drag	 〈重い物〉‘を'『引きずる』(haul) / 《副詞[句]を判って》…‘を'引っ張ってゆく / (網などで)(…を捜して)〈川・湖など〉‘の'底をさらう《+『名』+『for』+『名』》 / …‘を'だらだらと引き延ばす《+『out』+『名,』+『out』》 / (地面に)『引きずる』《+『along』》 / 〈物が〉重そうに動く;のろのろ進む / だらだらと長引く《+『on』(『out』)》 / 〈C〉〈U〉引っ張ること,引きずること / 〈C〉物事を遅らせる原因になる人(物);(…の)足手まとい,じゃま物《+『on』(『upon』)+『名』》 / 〈C〉水の底を探る物(探り錨,引き網など) / 〈C〉引きずられる物(重いまぐわ,犬ぞりなど) / 〈U〉《a~》(航空機の)抗力 / 《a~》《俗》退屈な人(物,事) 
dram	 ドラム(重量の単位で常衡は1.772グラム,薬局衡では3.9グラム) / (ウイスキーなどの)微量,一口《+『of』+『名』》 / (一般に)わずか(の…)《+『of』+『名』》 
drat	 =damn 
draw	 …‘を'『引く』,引っぱる / 《副詞[句]を伴って》…‘を'『引いて』(ある状態に)『する』 / (…から)…‘を'『引き抜く』,取り出す《+『名』+『from』(『out of』)+『名』》 / (…から)〈液体など〉‘を'『くみ出す』,くみ上げる《+『名』+『from』+『名』》 / (…から)…‘を'得る,引き出す《+『名』+『from』+『名』》 / 〈事〉‘を'招く,もたらす / 〈人〉‘を'引きつける,引き寄せる / 〈絵・図〉‘を'『線で描く』,〈線〉‘を'引く / …‘を'描写する,述べる / 〈文書〉‘を'書く,作成する;〈小切手〉‘を'振り出す / 〈息〉‘を'吸い込む;〈ため息〉‘を'つく / …‘を'引き伸ばす,いっぱいに張る / 〈くじなど〉‘を'引く,引き当てる / 〈勝負など〉‘を'引き分ける / 喫水が…‘だけ'ある / 《副詞[句]を伴って》『動く』,『近づく』,行く / (…に向けて)剣(ピストル)を抜く《+『on』+『名』》 / 《副詞[句]を伴って》人を引き付ける / 《副詞[句]を伴って》『線で書く』 / くじを引く / 《副詞[句]を伴って》〈水が〉はける,〈パイプ・煙突などが〉通る / (勝負などが)引き分けになる / 〈茶などが〉出る / 〈船が〉喫水する / 引くこと,抜くこと,(たばこなどの)一吸い,一服 / (人を)引きつけるもの,呼び物,人気者 / くじ引き,抽せん(lot) / 引き分け,無勝負
dray	 (4輪で台の低い)荷[馬]車 / …‘を'荷[馬]車で運ぶ
drew	 drawの過去形 
drip	 〈液体が〉『したたる』,しずくを垂らす,ぽたぽた落ちる《+『down』》;(…から)したたる《+『from』+『名』》 / 〈容器などが〉しずくを垂らす / (…で)びしょぬれになる,あふれる《+『with』+『名』》 / 〈液体〉‘を'したたらせる / 〈C〉『したたり』,しずく / 〈U〉したたること;しずくの落ちる音
drop	 〈しずくが〉『したたる』,垂れる《+『down』》 / 〈物が〉『落ちる』,落下する《+『down』》 / 〈人が〉『ばったり倒れる』,崩れ落ちる / 『下落する』,減少する《+『off』(『away』)》 / 終わる,やめになる / 《副詞[句]を伴って》引き離される,落後する / (…から)手を引く,やめる《+『from』(『out of』)+『名』》 / (…に)ちょっと立ち寄る,(…を)ひょっこり訪ねる《+『in』(『by,over,round』)『at』(『on』)+『名』》 / …‘を'『したたらせる』,垂らす / (…へ)…‘を'『落とす』,落下させる《+『名』+『into』(『on』)+『名』》 / …‘を'降ろす,下げる / …‘を'減少させる / …‘を'漏らす,ふと口にする / 〈人〉に〈短い手紙・伝言〉‘を'送る / 《話》…‘を'なぐり倒す,撃ち落とす / 《話》《副詞[句]を伴って》〈人〉‘を'乗り物から降ろす / (…から)〈ある音・文字〉‘を'落とす,抜かす,省く《+『名』+『from』+『名』》 / 〈人〉‘と'関係を絶つ;〈問題など〉‘を'打ち切る / …‘を'やめさせる;(…から)…‘を'追い出す《+『名from』+『名』》 / (ばくちなどで)〈金〉‘を'なくす / 〈C〉(…の)『しずく』,したたり《+『of』+『名』》 / 〈C〉(液体・事物の)少量,微量《+『of』+『名』》 / 〈C〉あめ玉,ドロップ / 《a ~》落下,降下(fall);落下距離 / 《a ~》(…の)下落,減少《+『in』+『名』》 / 《複数形で》点滴薬 / 《話》《a ~》少量の酒 / 〈C〉《おもに米》(郵便箱などの)落とし口,差し入れ口
drub	 (棒などで)…‘を'強く打つ / (試合などで)〈相手〉‘を'決定的に負かす
drug	 『薬』,薬品,薬剤 / 『麻薬』,麻酔剤 / 〈人〉‘に'薬(特に麻酔剤)を与える / 〈飲食物〉‘に'(麻酔薬・毒薬などの)薬を混ぜる
drum	 『太鼓』,ドラム / 太鼓の音;太鼓のような音 / (形が)太鼓状のもの;(機械の)ドラム;ドラムかんなど / =tympanic membrane / 太鼓を打つ(鳴らす) / (…でテーブル・床などを)ドンドン打つ,トントンたたく,踏みならす《+『on』+『名』+『with』+『名』》 / …‘を'ドンドン(トントン)打つ(鳴らす) / 《話》(人の頭などに)〈考えなど〉‘を'たたき込む,教え込む《+『名』+『into』+『名』》 / (…から)〈人〉‘を'追放(除名)する《+『名』+『out of』+『名』》 
dual	 二つの部分(2個)から成る / 二重の性質がある
duck	 〈C〉『アヒル』,『カモ』 / 〈C〉雌のカモ,雌のアヒル / 〈U〉(食用にする)カモ,アヒルの肉 / 〈C〉《おもに英話》かわいい人
duct	 送水管;(建物・船などの)通気管;(地下ケーブルなどの)ダクト / (体液を運ぶ)導管,(植物が水・空気を運ぶ)導管
duel	 決闘 / (2者・2集団などの間の)闘争,抗争 / 決闘する / …‘と'決闘する
duet	 二重唱,二重奏,二重唱(奏)曲 
duke	 (イギリスの)公爵 / (欧州大陸の小国または公国の)君主
duly	 正しく,当然に,順当に 
dumb	 『物の言えない』,口をきくことができない / 口をつぐんでいる,黙っている(silent) / 《名詞的にthe~》口のきけない人々 / 《話》頭の悪い,ばかな
dump	 〈重い荷物など〉‘を'『どさっと落とす』(降ろす);〈ごみなど〉‘を'どさっと捨てる / (特に外国市場で)〈商品〉‘を'投げ売りする,ダンピングする / ごみ捨て場 / (捨てられた)ごみの山 / (弾薬・軍需品などの)臨時集積場 
dune	 (海浜・砂漠の)砂丘 
dung	 (家畜の)ふん,こやし 
dunk	 (コーヒー・ミルクなどに)〈パン・ドーナツなど〉‘を'浸して食べる《+『名』+『in』(『into』)+『名』》 / …‘に'浸す,漬ける
dupe	 (他の人に)だまされやすい人《+『of』+『名』》 / 〈人〉‘を'だます;〈人〉‘を'かついで…させる《+『名』〈人〉+『into』 do『ing』》
dusk	 (特に夕暮れの)たそがれ / (ある所の)薄暗がり
dust	 〈U〉『ちり』,ほこり / 《a ~》土煙,砂ぼこり / 〈U〉粉末,粉 / 《the ~》《文》遺骨,なきがら / 〈U〉(死後の)土 / 〈U〉屈辱,恥 / 〈U〉つまらぬもの / …‘の'『ちりを払う』,ごみをふき取る《+『名』+『off』(『down』),+『off』(『down』)+『名』》;(…から)…‘を'払う《+『名』+『from』+『名』》 / (粉などを)…‘に'振り掛ける《+『名』+『with』+『名』》 / (家具などの)ほこりを払う
duty	 〈C〉〈U〉(道徳・法律上の)『義務』,本分,義理 / 〈C〉《しばしば複数形で》(地位・職業などからくる)『任務』,職務,仕事 / 〈U〉《古》尊敬,敬意 / 〈C〉《しばしば複数形で》『税』(tax),関税
dyer	 染め物屋(職人) 
dyke	 =dike 
dyne	 ダイン(力の絶対単位;1グラムの物体に1秒につき1cm/秒の加速度を生じる力) 
each	 『おのおのの』,『めいめいの』,各… / 『各自』,おのおの,めいめい / めいめい[に],それぞれ 
earl	 (英国の)伯爵 
earn	 (正業で働いて)〈金など〉‘を'『かせぐ』 / (努力して)〈信用・名声など〉‘を'得る / (貯金などが)〈利益〉‘を'生じる,生む 
east	 《the~》『東』;(…の)東方,(…の)東部《+『of』+『名』》 / 《the East》『東洋』(the Orient) / 《the East》《米》東部地方 / 『東の』,東方の,東部の;東からの / 『東に』,東方へ 
easy	 (事が)『容易な』,骨の折れない / 『心配のない』,気楽な / 寛大な,甘い / (速度などが)ゆるやかな;(衣服などが)ゆったりした / 楽々と;のんきに 
ebon	 =ebony 
echo	 〈C〉〈U〉『反響』[音];『こだま』,山びこ / 〈C〉〈U〉(意見・心情などに対する)共鳴,反応 / 〈C〉〈U〉(他人の行為・意見などの)繰り返し,まね《+『of』+『名』》;(…からの)影響《+『from』+『名』》;〈C〉まねをする人 / 〈場所が〉…‘を'『反響させる』 / 〈人の言葉・意見〉‘を'『そのまま繰り返す』,そっくりまねる / (…で)〈場所・音・声が〉『反響する』《+『with』+『名』(do『ing』)》
ecru	 =beige 
edgy	 (…で)(人が)いらいらした《+『with』(『about』)+『名』》 / しきりに(…)したがって《+『to』 do》
edit	 …‘を'編集する / 〈原稿など〉‘を'校訂する,〈本など〉‘を'監修する / (…から)〈文章など〉‘を'削除する《+『名』+『out of』+『名』》 
egad	 やあ,いやはや! 
egis	 =aegis 
elan	 熱意;気力 
elhi	 小中高校の(elementary and high schoolの略) 
emir	 (アラビアの)首長,王族 / エミール(マホメットの子孫の尊称)
emit	 〈水・熱・光・音・声など〉‘を'『出す』,『発する』 
envy	 〈U〉(…に対する)『ねたみ』,羨望(せんぼう)《+『of』(『at』)+『名』》 / 〈C〉(…の)『羨望の的』,うらやましい物(人,事)《+『of』+『名』》 / …‘を'『うらやむ』,ねたむ 
epic	 『叙事詩』 / 叙事詩の,叙事詩に似た / 叙事詩に歌われているような,壮大な 
ergo	 それ故に,したがって 
erst	 昔は,以前は 
espy	 〈遠くのもの・隠れたもの・意外なもの〉‘を'見付ける 
etch	 〈絵など〉‘を'エッチングで描く(彫る) / エッチングで描く
evil	 (思想・行動などが)『邪悪な』,罪深い / 害を与える,有害な / 『不吉な』;不運な / 〈U〉『悪』,罪悪 / 〈C〉『害悪』,悪弊 / 不幸,不運 / 悪く 
exam	 試験 
exit	 『出口』 / 退出,退去;(舞台からの俳優の)退場
eyot	 (川の中の)小島 
face	 〈C〉『顔』 / 〈C〉表情,顔つき / 〈C〉(物の)『表面』(surface),(建物の)正面(front),(貨幣・カードなどの)表《+『of』+『名』》 / 〈C〉(…の)外観,様子《+『of』+『名』》 / 〈U〉面目,面子(めんつ) / 〈C〉(多角面体の)面 / 〈C〉(活字・版の)面(印刷する部分);(活字の)書体 / 〈C〉(鉱山の)採掘現場 / …‘に'『面する』,‘の'ほうを向く / (…のほうに)…‘を'向ける《+『名』+『toward』+『名』》 / 〈人が〉〈危険など〉‘に'直面する,立ち向かう,対抗する;〈危険などが〉〈人〉‘に'迫る / 〈事実・現実など〉‘を'直視する,認める / (…で)〈壁など〉‘に'上塗り(上張り)をする《+『名』+『with』+『名』》 / (ある場所・方角に)面する,向く《+『on』(『to』,『toward』)+『名』》
fact	 〈C〉『事実』,実際にある(あった)事 / 〈U〉真相,真実(truth) / 《the~》(法律用語で)犯行 
fade	 『衰える』,弱くなる;〈植物が〉『しぼむ』,しおれる / 『しだいに消えてゆく』,姿を消す《+『away』》 / …‘を'衰えさせる;…‘の'色をあせさせる / 〈映像・音〉をしだいに消えさせる
fail	 『失敗』する,しくじる;落第する / 不足する,欠けている / 『衰える』,弱くなる / 〈会社などが〉破産する,倒産する / (いざというときに)〈人〉‘の'『役にたたない』,期待を裏切る,〈人〉‘を'見捨てる / 〈教師が〉〈学生・生徒〉‘を'落とす,‘に'落第点をつける / 〈学科・試験など〉‘に'『落第する』 / =failure
fain	 喜んで(…したいのだが) 
fair	 《米》(農産物・家畜などの)『品評会』;(一般に)『博覧会』 / 《英》定期市,縁日(特に祭日などに定期的に開かれ,見世物などが出てにぎわう) / 慈善市(bazaar) 
fake	 《話》…‘の'ふりをする,‘を'装う / …‘を'でっち上げる;(絵・紙幣など)‘を'偽造する,‘に'手を入れてごまかす / (…に)見せかける,(…の)ふりをする / にせ物,偽造(模造)品 / いかさま師,詐欺師 / にせの,偽造(模造)の
fame	 『名声』,高名,声望 / 評判,世評
fang	 (肉食動物の)きば,犬歯 / 蛇の毒牙 / (きばのように)とがった先 
fare	 〈C〉(乗り物の)『料金』,運賃 / 〈C〉(料金を払って乗る乗客) / 〈U〉食物,料理 / 〈人が〉やっていく / 《古・文》《itを主語にして》〈事が〉運ぶ,成り行く 
farm	 『農場』,農園(通例住宅・納屋などを伴い,しばしば家畜も飼育される) / (家畜の)『飼育場』,(魚貝の)養殖場 / 〈土地〉‘を'耕作する;〈農場・飼育場〉‘を'経営する 
faro	 銀行(賭けカードゲームの一種) 
fart	 おならをする / おなら,屁(へ)・いやな奴・愚かな人・むかつく奴・ろくでなし・「old fart」として「糞じじい・糞ばばあ」
